Model,Precision,Disk Size MB,RAM MB,VRAM MB,Tokens/sec,Latency ms,Perplexity,Tokens/Watt
Gemma 3 1B (FP32),FP32,4967.0211181640625,5632.7890625,0.0,5.990144113649676,166.9408917427063,14.492050170898438,0.5990144113649676
Gemma 3 1B (INT8),Quantized,2109.5364990234375,2930.296875,0.0,10.295745580471412,97.12749719619751,13.583770751953125,1.0295745580471412
Gemma 3 1B (INT4),Quantized,1689.6556396484375,3879.3671875,238.9736328125,11.120180179463624,89.9266004562378,15.55522632598877,1.1120180179463623
