Model,BLEU,ROUGE-L,BERTScore
Gemma 3 1B (FP32),100.0,100.0,100.0
Gemma 3 1B (INT8),25.795300762502738,51.61290322580646,48.79302382469177
Gemma 3 1B (INT4),42.017492297964395,67.6470588235294,70.20474076271057
