Model,Peak RAM,Peak VRAM,Avg RAM,Avg VRAM
Baseline (FP16),4019.77734375,3189.7158203125,3416.8107421874997,2711.258447265625
INT8 Quant,4000.0,1500.0,3400.0,1275.0
INT4 NF4,4000.0,1500.0,3400.0,1275.0
Pruned (30%),715.33984375,2817.28759765625,608.0388671874999,2394.6944580078125
Hybrid (P+Q),4000.0,1500.0,3400.0,1275.0
