Model,Avg Power Draw,Tokens/sec,Tokens/Watt
Gemma 3 1B (FP32),10.0,5.990144113649676,0.5990144113649676
Gemma 3 1B (INT8),10.0,10.295745580471412,1.0295745580471412
Gemma 3 1B (INT4),10.0,11.120180179463624,1.1120180179463623
